,2024-07-31,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Current Assets,36862000000.0,43348000000.0,36717000000.0,39112000000.0,
Other Current Assets,5612000000.0,4352000000.0,4355000000.0,2889000000.0,
Inventory,3373000000.0,3644000000.0,2568000000.0,1559000000.0,
Other Inventories,8000000.0,16000000.0,10000000.0,11000000.0,
Finished Goods,1027000000.0,1493000000.0,717000000.0,519000000.0,
Work In Process,83000000.0,264000000.0,150000000.0,54000000.0,
Raw Materials,2255000000.0,1871000000.0,1691000000.0,975000000.0,
Receivables,10023000000.0,9206000000.0,10527000000.0,10146000000.0,
Other Receivables,267000000.0,364000000.0,3905000000.0,2008000000.0,
Loans Receivable,3071000000.0,2988000000.0,2176000000.0,2372000000.0,
Accounts Receivable,6685000000.0,5854000000.0,6622000000.0,5766000000.0,
Allowance For Doubtful Accounts Receivable,-87000000.0,-85000000.0,-83000000.0,-109000000.0,
Gross Accounts Receivable,6772000000.0,5939000000.0,6705000000.0,5875000000.0,
Cash Cash Equivalents And Short Term Investments,17854000000.0,26146000000.0,19267000000.0,24518000000.0,
Other Short Term Investments,10346000000.0,16023000000.0,12188000000.0,15343000000.0,
Cash And Cash Equivalents,7508000000.0,10123000000.0,7079000000.0,9175000000.0,
