,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Total Non Current Assets,149161000000.0,148303000000.0,131696000000.0,109848000000.0,
Other Non Current Assets,7475000000.0,13647000000.0,11315000000.0,6072000000.0,
Non Current Prepaid Assets,,,,,1502000000.0
Non Current Deferred Assets,,,,,1232000000.0
Non Current Deferred Taxes Assets,,,,,1232000000.0
Financial Assets,,,,,1550000000.0
Investments And Advances,5383000000.0,5829000000.0,5912000000.0,6298000000.0,
Other Investments,,,,840000000.0,2192000000.0
Investmentin Financial Assets,5383000000.0,5829000000.0,5902000000.0,6282000000.0,
Available For Sale Securities,5383000000.0,5829000000.0,5902000000.0,6282000000.0,
Trading Securities,,,,,5152000000.0
Long Term Equity Investment,,5000000.0,10000000.0,16000000.0,18000000.0
Investments In Other Ventures Under Equity Method,,,10000000.0,16000000.0,
Goodwill And Other Intangible Assets,28384000000.0,32180000000.0,33609000000.0,34233000000.0,
Other Intangible Assets,3691000000.0,4589000000.0,6018000000.0,7270000000.0,
Goodwill,24693000000.0,27591000000.0,27591000000.0,26963000000.0,
Net PPE,107919000000.0,96647000000.0,80860000000.0,63245000000.0,
Accumulated Depreciation,-102193000000.0,-98010000000.0,-93386000000.0,-85294000000.0,
Gross PPE,210112000000.0,194657000000.0,174246000000.0,148539000000.0,
Construction In Progress,50418000000.0,43442000000.0,36727000000.0,21545000000.0,
Machinery Furniture Equipment,103150000000.0,100033000000.0,92711000000.0,86955000000.0,
Properties,56544000000.0,51182000000.0,44808000000.0,40039000000.0,
Current Assets,47324000000.0,43269000000.0,50407000000.0,58558000000.0,
Other Current Assets,9586000000.0,3706000000.0,4712000000.0,2130000000.0,
Assets Held For Sale Current,,,45000000.0,6942000000.0,5400000000.0
Inventory,12198000000.0,11127000000.0,13224000000.0,10776000000.0,
Finished Goods,3422000000.0,3758000000.0,4142000000.0,2679000000.0,
Work In Process,7432000000.0,6203000000.0,7565000000.0,6656000000.0,
Raw Materials,1344000000.0,1166000000.0,1517000000.0,1441000000.0,
Receivables,3478000000.0,3402000000.0,4133000000.0,9457000000.0,
Accounts Receivable,3478000000.0,3402000000.0,4133000000.0,9457000000.0,
Cash Cash Equivalents And Short Term Investments,22062000000.0,25034000000.0,28338000000.0,29253000000.0,
Other Short Term Investments,13813000000.0,17955000000.0,17194000000.0,24426000000.0,
Cash And Cash Equivalents,8249000000.0,7079000000.0,11144000000.0,4827000000.0,
