,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Other Intangible Assets,1086000000.0,1263000000.0,1620000000.0,1953000000.0
Goodwill,5504000000.0,5667000000.0,5431000000.0,5074000000.0
Net PPE,2857000000.0,2944000000.0,2808000000.0,2588000000.0
Accumulated Depreciation,-4000000000.0,-3966000000.0,-3612000000.0,-3235000000.0
Gross PPE,6857000000.0,6910000000.0,6420000000.0,5823000000.0
Construction In Progress,167000000.0,248000000.0,280000000.0,137000000.0
Other Properties,275000000.0,241000000.0,223000000.0,180000000.0
Machinery Furniture Equipment,3547000000.0,3589000000.0,3371000000.0,3135000000.0
Buildings And Improvements,1434000000.0,1423000000.0,1318000000.0,1106000000.0
Land And Improvements,1434000000.0,1409000000.0,1228000000.0,1265000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,18166000000.0,20266000000.0,19597000000.0,18215000000.0
Assets Held For Sale Current,79000000.0,0.0,,
Prepaid Assets,388000000.0,423000000.0,836000000.0,827000000.0
Inventory,2719000000.0,3265000000.0,2392000000.0,2242000000.0
Finished Goods,980000000.0,1375000000.0,1039000000.0,940000000.0
Work In Process,583000000.0,815000000.0,680000000.0,750000000.0
Raw Materials,1156000000.0,1075000000.0,673000000.0,552000000.0
Receivables,6740000000.0,7416000000.0,6765000000.0,6871000000.0
Other Receivables,1164000000.0,1229000000.0,1169000000.0,1103000000.0
Taxes Receivable,655000000.0,638000000.0,214000000.0,265000000.0
Accounts Receivable,4921000000.0,5549000000.0,5382000000.0,5503000000.0
Allowance For Doubtful Accounts Receivable,,,,-300000000.0
Gross Accounts Receivable,,,,5803000000.0
Cash Cash Equivalents And Short Term Investments,8240000000.0,9162000000.0,9604000000.0,8275000000.0
Other Short Term Investments,2006000000.0,3695000000.0,2913000000.0,1335000000.0
Cash And Cash Equivalents,6234000000.0,5467000000.0,6691000000.0,6940000000.0
