,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Net PPE Purchase And Sale,-612375000000.0,-602040000000.0,-429687000000.0,-462038000000.0,
Sale Of PPE,11571000000.0,11595000000.0,11409000000.0,15893000000.0,
Purchase Of PPE,-623946000000.0,-613635000000.0,-441096000000.0,-477931000000.0,
Operating Cash Flow,1373213000000.0,314691000000.0,1233643000000.0,1140217000000.0,
Cash Flow From Continuing Operating Activities,1373213000000.0,314691000000.0,1233643000000.0,1140217000000.0,
Taxes Refund Paid,-293997000000.0,-297881000000.0,-269885000000.0,-102732000000.0,
Change In Working Capital,-562911000000.0,-1543894000000.0,-1380542000000.0,-1460793000000.0,
Change In Other Working Capital,1907268000000.0,630855000000.0,112899000000.0,234953000000.0,
Change In Other Current Liabilities,-21954000000.0,241456000000.0,971546000000.0,486657000000.0,
Change In Other Current Assets,-2266917000000.0,-1682407000000.0,-2244098000000.0,-2295973000000.0,
Change In Payables And Accrued Expense,-13303000000.0,-103067000000.0,144829000000.0,308018000000.0,
Change In Accrued Expense,,,,80165000000.0,-40144000000.0
Change In Payable,-13303000000.0,-103067000000.0,144829000000.0,308018000000.0,
Change In Account Payable,9188000000.0,-107250000000.0,126989000000.0,288854000000.0,
Change In Tax Payable,-22491000000.0,4183000000.0,17840000000.0,19164000000.0,
Change In Income Tax Payable,-22491000000.0,4183000000.0,17840000000.0,19164000000.0,
Change In Inventory,75641000000.0,-560382000000.0,-194624000000.0,-56509000000.0,
Change In Receivables,-243646000000.0,-70349000000.0,-171094000000.0,-137939000000.0,
Other Non Cash Items,-78298000000.0,-104658000000.0,951163000000.0,1072866000000.0,
Unrealized Gain Loss On Investment Securities,,,,-247033000000.0,20177000000.0
Deferred Tax,,4183000000.0,17840000000.0,-153427000000.0,4799000000.0
Deferred Income Tax,,4183000000.0,17840000000.0,-153427000000.0,4799000000.0
Depreciation Amortization Depletion,1144981000000.0,1004590000000.0,835233000000.0,687373000000.0,
Depreciation And Amortization,1144981000000.0,1004590000000.0,835233000000.0,687373000000.0,
Amortization Cash Flow,,,,273044000000.0,329809000000.0
Amortization Of Intangibles,,,,273044000000.0,329809000000.0
Depreciation,,,835233000000.0,390693000000.0,416642000000.0
Operating Gains Losses,-105224000000.0,-17962000000.0,-19829000000.0,-54462000000.0,
Pension And Employee Benefit Expense,,,,-42936000000.0,8948000000.0
Earnings Losses From Equity Investments,-715000000.0,-17696000000.0,-13934000000.0,-5012000000.0,
Gain Loss On Investment Securities,-73166000000.0,4469000000.0,60402000000.0,-62704000000.0,
Gain Loss On Sale Of Business,-26668000000.0,-4318000000.0,-74613000000.0,-18868000000.0,
Net Income From Continuing Operations,1268662000000.0,1274496000000.0,1117503000000.0,997965000000.0,
